阿斗当皇帝	软弱无能
八仙过海	各显神通；能行风的行风，能下雨的下雨
八仙过海不用船	自有法度（渡）
八仙桌缺只脚	摆不平
八仙桌上摆夜壶	不是个（家）伙；不是个成就（盛酒）的家伙
八仙桌上放盏灯	明摆着
八旬奶奶三岁孙	老的老，小的小
八月的柿子	越老越红
八月的丝瓜	黑心
八月的天气	一会儿晴，一会儿阴
八月桂花开	到处飘香
八月间的核桃	满人（仁）
八月里的黄瓜棚	空架子
八月十五办年货	赶早不赶晚
八月十五吃月饼	正是时候
八月十五吃粽子	不是时候
八月十五桂花香	花好月圆
八月十五过年	差远了
八月十五看龙灯	迟了大半年（比喻太晚来不及了。）
八月十五团圆节	一年一回
八月十五种花生	瞎指挥
八月十五捉兔子	有你过节，无你也过节（比喻有没有无关大局。）
八张牌摊开打	来明的
八只脚的螃蟹	横行霸道
八字写一撇	少一半
巴掌被蚊咬	手痒
巴掌长疮	毒手
巴掌穿鞋	行不通
巴掌打空气	劳而无功
巴掌蒙眼睛	其实遮不住天
巴掌劈砖头	硬功夫
巴掌心煎鸡蛋	巧手；好手
叭拉狗蹲墙头	硬装坐地虎（比喻冒充豪绅）
叭拉狗掀门帘	全仗一张嘴
叭拉狗咬月亮	不知天多高（比喻不知道自己有多大本事，非常不自量力
扒灰头讲礼书	说里不走理
扒了皮的癞蛤蟆	活着讨厌，死了还吓人
扒了墙的庙	慌了神
芭蕉插在古树上	粗枝大叶
芭蕉结果	紧连心；一条心
芭蕉敲鼓	面面点到
疤瘌眼照镜子	自找难看
疤上生疮	根底坏
拔河比赛	两头拉
拔节的竹笋	天天向上
拔了萝卜窟窿在	有根有
拔了萝卜有眼在	不得白用力
拔了萝卜栽上葱	一茬比一茬辣
拔了毛的凤凰	不如鸡
拔了毛的鸽子	看你昨飞
拔了毛的狮子	惹你笑
把鼻涕往脸上抹	自找难看
把镰刀卡在喉咙里	吞又吞不下,吐又吐不出来
把牛角安在驴头上	四不像
把手插在磨眼里	自找苦吃
把它当枕头	置之脑后
把妖魔当成菩萨拜	善恶不分；害人又害已
把珍珠当泥丸	真不识货
把状元关到门背后	埋没人才
靶场上的老黄忠	百发百中
靶场上练瞄准	睁只眼闭只眼
霸王别姬	无可奈何
霸王请客	吃也得吃，不吃也得吃
霸五项羽	不町一世
白鼻子（戏剧中的丑角）演戏	陪衬
白玻璃瓶装清水	看透了
白布进染缸	洗不清
白布做棉袄	反正都是理（里）
白菜熬豆腐	谁也不沾谁的光（比喻谁也占不到谁的好处。）
白菜长心	老了
白菜烩豆腐	谁也不沾谁的光
白菜叶子炒大葱	亲（青）上加亲（青）
白痴的葫芦	傻瓜一个
白骨精扮新娘	娇里妖气
白骨精唱歌	怪腔怪调
白骨精打跟头	鬼把
白骨精的饭食	碰也不要碰
白骨精给唐僧送饭	假仁假义；没安好心
白骨精化美女	人面鬼心
白骨精见了孙悟空	现原形了
白骨精开口	不讲人话
白骨精骗唐僧	一计不成又生一计
白骨精说人话	妖言惑众
白骨精想吃唐僧肉	痴心妄想
白骨精遇上孙悟空	原形毕露
白骨精照镜子	里外不是人
白骨精装新娘	妖里妖气
白鹤站在鸡群里	突出
白灰店里买眼药	找错了门（比喻门路不对。）
白蜡树上结桂花	根子不正
白脸蛋上打粉	可有可无
白脸奸臣出场	恶相
白露过后的庄稼	
白萝卜扎刀子	不出血的东西（①比喻不肯多出钱。②比喻不爽快。）
白毛乌鸦	与众不同
白米换糠	有福不会享
白娘娘斗法海	精打光
白娘娘喝了雄黄酒	现了原形
白娘子斗法海	精打-光
白娘子喝了雄黄酒	现了原形
白娘子救许仙	尽心尽力
白娘子突断桥	想起旧情来
白娘子压在雷锋塔下	总有人搭救
白娘子遇许仙	千里姻缘一线牵
白日做梦	胡思乱想
白水锅里揭豆腐皮	办不到
白水煮冬瓜	没啥滋味
白水煮豆腐	淡而无味
白素贞不舍许仙	恩爱难分
白素贞哭断桥	想起旧情
白糖拌苦瓜	又苦又甜（比喻矛盾的心理状态或复杂的感情。）
白糖拌蜜糖	甜上加甜
白天打灯笼	白搭
白天照电筒	多此一举
白眼狼戴草帽	变不了人；假充善人（比喻心肠歹毒的坏人伪装成好人，进行欺骗。）
白眼狼戴眼镜	冒充好了
白杨树叶子	两面光
白衣秀士当寨主	容不得人
白蚁蛀观音	自身难保
白蚁钻过的料	坏透了
白纸黑字	黑白分明
白纸上画黑道	抹不掉；不能容人
白纸上写黑字	赖不掉；变不了；明摆着
百尺竿头挂剪刀	高才（裁）
百合地里栽甘蔗	苦根甜苗
百家姓不念第一个字	开口就是钱（比喻眼睛里只有钱。）
百家姓读掉头个字	开口就说钱；钱字当头
百家姓里的老四	说的是理（李）
百家姓上少了第二姓	缺钱
百家姓少了第二姓	没钱
百斤担子加铁砣	重任在肩
百里草原安家	孤孤单单
百里长的公路不用拐弯	太直了
百里舜（春秋时虞国大夫，后成为秦国左相）认妻	位高不忘旧情
百灵鸟碰到鹦鹉	会唱的遇上会说的（比喻各有特长。）
百灵戏牡丹	鸟语花香
百灵遇鹦鹉	会唱的碰到会说的
百米短跑	有始有终
百年的大树	根深蒂固
百年的瓜子千年的树	根深蒂固
百年的歪脖树	定型了
百年鸟龟下臭卵	老坏蛋
百年松树，五月芭蕉	粗枝大叶
百年松做柴烧	大材小用；屈才
百鸟展翅	各显其能
百岁老人过生日	难得有一回
百岁老人学跳舞	人老心不老
百岁老人做大寿	四世同堂
百岁养儿子	得之（子）不易
百万雄师下江南	兴师动众
百万雄狮过大江	势不可当
百丈高竿挂红灯	外面看见里面红（比喻表面上有错，实际上不行。）
百只麻雀炒碟菜	尽是嘴
柏木椽子（chuan zi	宁折不弯
柏油烫猪头	连根拔
摆渡不成翻了舟	两头误
败家子回头	金不换
拜罢天地去讨饭	没过一天好日子
拜佛走进吕祖（吕洞宾）庙	走错了门
拜年不磕头	干什么来了
拜年的话	好听
拜年的见了面	你好我也好
拜堂的夫妻	谢天谢地
拜堂听见乌鸦叫	倒霉透了；扫兴
扳不倒（不倒翁）掉到水缸里	摇摇摆摆
扳不倒盖被子	人小辈（被）大
扳不倒照镜子	里外不是人
扳倒大树掏老鸽	拣有把握的干
扳倒大树掏老鸹	拣有把握的干
扳倒大瓮掏小米	摸到底了
扳倒碓窝（dui wo石臼）吓婆婆	泼妇
扳倒葫芦洒了油	一不做，二不休
扳倒礁窝，吓跑婆婆	泼妇
扳倒树掏老鸹	稳逮
扳手紧螺帽	丝丝入扣
扳着指头算账	有数
班门弄斧	自不量力
班头（衙门里缉捕犯人的差役）打他爹	公事公办
斑鸠打架	卖弄风流
斑马的脑袋	头头是道
搬家丢了老婆	粗心极了
搬起石磙砸碾盘	实（石）打实（石）
搬起石头砸自己的脚	自作自受；自找罪受自讨苦吃
搬石头打脑壳（脑袋）	自讨苦吃过不去
搬石头上山	费力不讨好；又蠢又笨
搬梯子上大	没门；难上难；瞎张罗
搬竹竿进胡同	直来直去
搬着车轱辘（gu lu车轮）上山	硬干
搬着梯子上天	没门
板凳倒地	四脚朝天
板凳倒立	四脚朝天
板凳爬上墙	怪事一
板凳上打麻将	抓不开
板凳上放鸡蛋	不可靠；好险；危险
板凳上搁蒺藜（ji li一年生草本植物。尖刺）	坐不住
板凳上搁窝窝头	有板有眼
板凳上睡觉	翻不了身；难翻身，往宽绰想好梦不长
板门上贴门神	一个向东，一个向西
板上钉钉子	稳扎稳打
半边猪头	独眼
半道上捡个喇叭	有吹的了
半道上遇亲人	喜相逢
半吊子的一半	二百五
半个铜钱	不成方圆
半个月绣不出一朵花	真（针）差
半截梭子织布	独来独往
半斤对八两（旧制八两为半斤）	一码事
半斤换八两	谁也不沾谁的光；谁也不吃亏
半空的云彩	变化多端
半空中荡秋千	不落实
半空中的火把	高明
半空中的气球	上不着天，上不着地；悬着哩
半空中点灯	高明
半空中吊帐子	不着实地
半空中放风筝	总有牵线人
半空中挂锅铲	吵（炒）翻了天
半空中挂剪刃	高才（栽）
半空中挂口袋	装疯（风）
半空中抹糨子（jiang zi）糨糊）	胡（糊）；
半空中骑马	腾云驾雾
半拉瓜子	不算个人（仁）；你算什么人
半篮子喜鹊	叽叽喳喳
半两人说千斤语	好大的口气
半路上碰见劫道的	凶多吉少
半路上出家	从头学起
半路上丢算盘	失算了
半路上留客人	嘴上热情
半路上留客	嘴上热情；嘴上热闹
半路上杀出个程咬金	突如其来：措手不及
半路上杀出个杨排风	好厉害的丫头
半路天小差	有始无终
半瓶于醋	晃荡得很
半身子躺在棺材里	等着死（比喻不能再为人民做贡献了。）
半天打不出喷嚏来	难受
半天云里踩钢丝	提心吊胆
半天云里长满草	破天荒
半天云里唱歌	调子太高
半天云里吃喝	空喊
半天云里吹唢呐	想（响）得高
半天云里打灯笼	高明
半天云里打电话	空谈
半天云里打麻雀	空对空
半天云里打算盘	算得高
半天云里打铜锣	四方闻名（鸣）；响当当
半天云里点灯	高招（照）
半天云里翻跟头	不着实地
半天云里翻筋头	终究要落地（比喻早晚要跌跟头。）
半天云里翻账簿	算得高
半天云里放屁	臭气熏天
半天云里挂锅铲	吵（炒）翻（飞）了天
半天云里挂剪子	高才
半天云里挂口袋	装疯（风）
半天云里喊口号	呼声很高
半天云里拉家常	空谈
半天云里聊天	高谈阔论
半天云里扭身歌	空欢喜（比喻白白地高兴一场，并没有达到目的。）
半天云里扭秧歌	空欢喜；空喜
半天云里拍巴掌	空想（响）
半天云里抛棉花	肯定落空
半天云里跑马	露马脚
半天云里骑仙鹤	远走高飞
半天云里响炸雷	惊天动地
半天云里写文章	空话连
半天云里演杂技	艺高人胆大
半天云里找对象	要求太高
半天云里作演说	高论
半天云里做演说	高论
半天云中拍巴掌	高手
半天抓云	一句空话
半响打不出喷嚏来	干难受
半夜拔河	暗中使劲
半夜不见枪头子	攮（nang用力刺）到贼肚里
半夜吃甘庶	不知头尾
半夜吃黄瓜	不知头尾（比喻不知事情的经过或底细。）
半夜吃黄连	暗中叫苦
半夜出门做生意	赚黑钱
半夜打雷心不惊	问心无愧
半夜弹琴	暗中作乐
半夜过独木桥	步步小心
半夜鸡叫	乱了时辰
半夜里的铺盖（被子）	没人理
半夜里和面	瞎鼓捣
半夜里抡大斧	瞎砍一通
半夜里梦见做皇帝	快活一时是一时（比喻无止境的追求欢乐或比喻美梦不长，空喜欢了一场。）
半夜里摸帽子	为时过早；太早了
半夜里撒呓挣（sa yi zhenQ熟睡时说话或动作	迷迷糊糊
半夜里摘茄子	不分老嫩
半夜里捉虱子	瞎摸；摸不着
半夜聊天	瞎说
半夜闹王殿	暗中搞鬼
半夜爬山	不知高低
半夜起来骂阎王	等死等不到天亮
半夜敲钟	一鸣惊人
半夜三更放鞭炮	一鸣惊人
半夜三更亡茅房（厕所）	迫不得已
半夜下馆子（饭馆）	吃闭门羹
半夜做恶梦	虚惊一场
半夜做买卖	暗中交易
半夜做梦娶新娘	想得倒美
半衣敲钟	一鸣惊人
半衣捅鸡窝	暗中捣蛋
拌桶（田里脱谷粒用的方形大木桶）包豆腐	大方
绑着腿的青蛙	跳不了啦
膀子折断了往袖里塞	干吃哑巴亏
蚌壳里取珍珠	图财害命；谋财害命
蚌里藏珍珠	好的在里面
棒糙上天	总有一头落地
棒槌（洗衣时用以捶打的木棍）吹火	一窍不通
棒槌吹火	一窍不通
棒槌打缸	四分五裂
棒槌弹棉花	乱谈（弹）
棒槌当针	粗细不分
棒槌锻磨	胡凿
棒槌缝衣服	当真（针）
棒槌拉胡琴	粗中有细；不是正经家
棒槌里插针	粗中有细
棒槌敲鼓	大干一场
棒槌敲竹筒	空想（响）
棒打鸭子	呱呱叫
棒打鸳鸯	两分离；难分开
棒相当针	粗细不分（比喻没深没浅，分不出好坏。）
棒子面（玉米粉）抻（ch6n扯）面条	要的就是这个劲儿
棒子面煮葫芦	胡胡涂涂
棒子面煮鸡子儿（鸡蛋）	糊涂蛋
棒子面做蛋糕	不是正经材料
磅秤上放粒芝麻	无足轻重
包办婚姻	不由自主
包单（被单）布洗脸	大方
包单布洗脸	大方
包工头监工	动口不动手
包公的上方宝剑	先斩后奏
包公的衙门	好进难出
包公的铡刀	不认人
包公断案	铁面无私
包公放粮	为穷人着想
包公审案子	铁面尤私；六亲不认
包公升堂	尽管直说
包公铡陈世美	公事公办；大快人心
包公铡驸马	刚正不阿；公事公办
包公铡皇亲	法不容人；六亲不认
包公斩包勉	正人先正己
包脚布当孝帽	一步（布）登天；能到顶了
包脚布裹金条	内中有宝；外贱内贵
包脚布满天飞	打的什么旗号
包脚布上飞机	一步（布）登天
包脚布围嘴	臭了一圈
包脚布做围脖	臭一圈儿
包老爷（包公）办案	明察秋毫
包老爷怒铡陈世美	一刀两断
包老爷升堂	一呼百应；前呼后拥
包龙图断案	认理不认亲：六亲不认
包米面做元宵	捏不到一块儿
包子吃到豆沙边	尝到甜头
包子出了糖	露了馅儿（比喻不愿意让人知道的事暴露出来了。）
包子馒头做一笼	大家都争气
包子没馅	蛮（馒）头
包子张嘴	露馅
苞谷秆里的虫	专（钻）心
苞谷秸喂牲口	天生的粗料
苞谷面做元宵	捏不拢
龅牙齿（bao ya chi）牙齿穿出于嘴唇外的人啃西瓜	条条是道；道道多
雹打的高梁秆	光棍一条
宝剑出鞘	锋芒毕露
宝玉和湘云哭贾母	各有各的眼泪
宝玉湘云哭贾母	各有各的伤心处
饱带干粮晴带伞	有备无患
保姆做嫁妆	替别人欢喜
保险柜里安家	图的是安全
保险柜里安雷管	暗藏杀机
报晓的公鸡	叫得早
抱干柴救烈火	越帮越忙
抱黄连敲门	苦到家了
抱鸡婆打摆子	窝里战（颤）
抱鸡婆带娃娃	只管自家一窝
抱木偶打狗	把你不当人
抱菩萨洗澡	淘神
抱窝鸡带崽	可忙啦
抱元宝跳井	爱财舍命；舍命不舍财
抱在怀里的西瓜	十拿九稳（比喻办事非常准确或有把握。）
抱着擀面杖当笙吹	一窍不通
抱着孩子拜天地	双喜临门
抱着黄连做生意	苦心经营
抱着机器人亲嘴	你有情他无意
抱着金砖跳海	人财两空；爱财如命
抱着蜡烛取暖	无济于事
抱着老虎喊救命	自找死
抱着木炭亲嘴	触一鼻子灰
抱着琵琶进磨坊	对牛弹琴
抱着屁股上楼	自己抬自己
抱着菩萨亲嘴	一头热乎
抱着钱罐子打吨	财迷
抱着钱匣子睡觉	财迷心窍
抱着石头跳深渊	死不回头
抱着铁耙子亲嘴	自找钉子碰
抱着元宝跳井	舍命不舍财
抱着枕头跳舞	自得其乐
抱着枕头做好梦	空喜一场
豹蝉唱歌	有声有色
豹子借猪狗借骨	有去无回
豹子进山	浑身是胆
暴风雨中的航船	顶风破浪
暴雨前的闪电	人发雷霆
爆炒鹅卵石	不进油盐；油盐不进
爆米花沏茶	泡汤了
爆竹的脾气	一点就炸
杯水救燎原	无济于事；微不足道
北冰洋的梅子	寒酸
北冰洋的夜晚	冷静
北冰洋上聊天	全是冷言冷语
北极的冰川	顽固不化
北极的另一端	难（南）极
北极熊打呵欠	尽吹冷风
北面开窗	不怕冷风
背鼎锅跳加官（旧时戏曲开场或演出中，遇显贵到场时，加演的舞蹈节目）	费力不讨好
背鼓进祠堂	一副挨打的相
背鼓进庙	找锤
背后藏茄子	有外心
背后拉弓	暗箭伤人
背后抹胡琴	拉不着
背后施一礼	没人领情
背后捅刀子	暗伤人
背后作揖	反礼
背靠背睡觉	体贴人
背靠背走路	各奔东西
背靠悬崖	没退路了
背门板上街	好大的牌子
背菩萨下河	淘神
背起棺材过黄河	连后路都准备好了
背人偷酒吃	冷暖自家知
背上被刺扎	不能自拔
背石头上山	自找麻烦；硬吃亏
背时（倒霉）的媒婆	两头挨骂
背死人过河	吃力不讨好；费劲不落好
背媳妇烧香	吃力不讨好
背心藏臭虫	久仰（痒）
背心穿在衬衫外	乱套了
背油桶救火	惹火烧身
背着醋罐子讨饭	穷酸
背着粪筐上银行	臭钱
背着粪篓满街窜	找死（屎）
背着甘蔗上楼梯	步步高，节节甜
背着棺材上战场	往最坏处想；豁上命
背着哈哈镜走路	不怕后人见笑
背着孩子爬山	要上都上
背着脚扣上梯子	多此一举
背着喇叭坐飞机	吹上天了（比喻过份的说大话。）
背着灵牌上火线	拼啦
背着马桶出差	走到哪儿臭到哪儿
背着棉花过河	负担越来越重
背着棉絮过河	越背越重
背着牛头不认账	死赖
背着婆娘看戏	丢人又受累
背着人作揖	各尽其心
背着石磨上山	费力不讨好
背着石头上泰山	受累不讨好
背着水讨饭	装穷
背着唢呐坐飞机	吹上天了
背着娃娃推磨	添人不添劲
被打败的公鸡	垂头丧气
被单补袜子	大材小用
被单里眨眼睛	自欺欺人；自己哄自己
被单蒙桌子	作为（包围）很大
被单作尿布	太大方
被封住了嘴巴	哼不得声
被糊涂油蒙了心	一点不清醒
被埋没的陶俑	难出头
被面补抹子	大材小用
被面上刺绣	锦上添花
被迫打的老鼠	见洞就钻
被窝里不见了针	不是婆婆就是孙
被窝里放屁	独吞；能文（闻）能武（捂）
被窝里划拳	没掺外手
被窝里挤眉弄眼	自己糊弄自己
被窝里磨牙	怀恨在心
被窝里抹眼泪	独自悲伤
被窝里伸手	摸清底细
被窝里耍拳	有劲使不上
被窝里喂虎	害人又害己
被窝里捉跳蚤	瞎抓
被追打的老鼠	见洞就钻
被子里边烂	表面好
笨狗撵（nian 追赶）兔子	不沾边；挨不上
笨姑娘纳鞋底	坑坑洼洼
笨牛吃麻雀	不好捉弄
笨婆娘打架	拉拉扯扯
笨媳妇纳的袜底儿	坑坑洼洼
笨贼偷法官	自投罗网
笨贼偷石臼	吃力不讨好；费力不讨好
笨猪拱蒺藜（ji li一年生革本植物。果皮有尖刺）	自找苦吃
崩鼻子戴眼镜	没着落
崩了群的马	四处逃散
崩子（beng zi小形硬币）当眼镜	看不透
逼公鸡下蛋	故意刁难；办不到
逼人跳海	害人不浅
逼着牯牛（公牛）生子	强人所难
鼻尖抹黄连	苦在眼前；眼前苦
鼻尖上的黑痣	近在眼前
鼻尖上着火	迫在眉睫
鼻孔里灌米汤	够戗（够受的）
鼻孔里氏瘤子	气不顺
鼻窟窿看天	有眼无珠
鼻梁骨上摆摊子	眼界要放宽
鼻梁碰着锅底灰	触霉头（倒霉）
鼻梁上：套绳索	让人牵着鼻子走
鼻梁上放菜刀	好险
鼻梁上挂钥匙	开口
鼻梁上推小车	走投（头）无路
鼻粱骨上摆摊子	眼界要放宽（比喻放天视野）
鼻涕沉到嘴里	各人吃各人的
鼻涕流到嘴里	吃亏沾光没外人
鼻头搽白粉	一副奸相
鼻头上挂粪桶	不知香臭
鼻头上抹鸡屎	脸上尴尬（gan ga）
鼻头上耍木偶	面上人
鼻子里插葱	装相（象）
鼻子里插大葱	装象（相）
鼻子两旁画巴毛	不要脸
鼻子上安雷管	祸在眼前；急在眼前
鼻子上搽粉	一副奸相（比喻奸邪馅媚的人）
鼻子上戴花	不是个地方
鼻子上挂秤砣	抬不起头来（比喻受压制的人或事物得不到伸展。）
鼻子上挂灯笼	明眼人
鼻子上挂钉锤	可（掴）耻（齿）
鼻子上挂粪桶	不知香臭
鼻子上挂磨盘	抬不起头来
鼻子上挂肉	油嘴
鼻子上冒烟	急在眼前
鼻子上抹蜜糖	干馋捞不着
鼻子上推小车	走投（头）无路
鼻子生疮	眼前就是毛病
鼻子眼里生豆芽	怪事一桩：怪事
比着被子伸腿	量力而行
比着葫芦画瓢	走不了样
笔端的大马路	正直公道
笔杆子吹火	小气
笔杆子吞进肚	胸有成竹
笔管里打瞳睡	细人
笔筒吹火	小气（①比喻吝啬。②指气量小，③形容人的举止、行动等。）
笔筒里看天	眼光狭窄
闭门造车	自作聪明
闭日养神	悠然自得
闭眼吃虱子	眼不见为净
闭眼撕皇历	瞎扯
闭眼撞南墙	碰得头破血流
闭着眼睛哼曲子	心里有谱
闭着眼睛进山洞	难免碰壁
闭着眼睛卖布	瞎扯；胡扯
闭着眼睛撒网	瞎张罗
闭着眼睛下围棋	黑白不分；混淆黑白
闭着眼睛训话	瞎说
闭着眼睛踵河	听天由命
箅子（bi zi有空隙而能起间隔作用的器具。）上取窝头	十拿九稳
壁虎捕虫	不动声色
壁虎捕食	出其不意
壁虎掀门帘	露一小手
壁画上的樱桃	中看不中吃
壁角里使攫头（jue tou刨土用的农具）	挖墙脚（角）
壁上的春牛	离（犁）不得；跟（耕）不得
壁上挂帘子	不像话（画）
边吃苞米边拉呱儿（闹谈）	开黄腔
边放鞭炮边打枪	真真假假
编编匠（善于哄骗的人）的嘴	说得好听
编幅看太阳	瞎了眼
蝙蝠的眼睛	目光短浅
鞭打千里驹	快马加鞭
鞭杆当笛吹	没心眼
鞭杆做大梁	不是正经东西
鞭炮店失火	自己恭维自己
鞭子抽耳朵	打听打听；打听
鞭子抽蚂蚁	专拣小的欺
扁担插进桥眼里	担不起
扁担吹火	一窍不通
扁担上搁鸡蛋	好险
扁担上睡觉	难翻身；翻不了身
扁担挑柴火	心（薪）挂两头
扁担挑灯笼	两头明
扁担挑水	心挂两头
扁担无钩	两头滑
扁担无扎	两头滑脱；两头滑
扁担做桨用	划不来
扁担做桅杆	担风险
扁鹊开处方	于到病除
扁食（饺子）馅里搀砒霜（pi shuang砷的氧化物。剧毒）	心里毒
扁相捣鸡笼	鸡飞蛋打
扁嘴子（鸭子）过河	摸不着底
便壶没鼻	不好捉摸
便宜买回的处理品	贱货
变戏法的本领	全凭手快
变戏法的功夫	于疾眼快
变戏法的亮手帕	不藏不掖
变戏法的拿块布	掩掩盖盖
变形的钢板	难校正
变质的鸡蛋	臭在里面
婊子立牌坊	假正经
婊子骂娼	一路货色
婊子送客	假仁假义
裱糊匠开糟房（酿酒作坊）	酒少话（画）多
裱糊匠止天	胡（糊）云
蹩脚木匠的活路（活儿）	东一句（锯），西一句（锯）
瘪了的唢呐	看你怎么吹
瘪芝麻榨油	油水不大
瘪嘴吹箫	走风漏气
镔铁做铧口	离（梨）不得
殡仪馆里的棺材	装人
冰雹砸荷叶	不堪一击；落花流水
冰雹砸了棉花棵子	尽光棍
冰河上架屋	白搭
冰窖着火	没见过
冰库里点蜡	洞（冻）房花烛
冰块掉进醋缸里	寒酸
冰凌当拐杖	靠不住；不可靠
冰凌调豆腐	难办（拌）
冰凌挂胸n	凉透了心
冰凌上跑马	站不住脚
冰面上盖房子	不牢靠
冰山上画画	好景不长
冰滩上的鱼	由（游）不得了
冰糖调黄瓜	千干脆脆；干脆
冰糖葫芦	一串一串的
冰糖煮黄连	同甘共苦；苦中有甜
冰天雪地发牢骚	冷言冷语
兵来将挡，水来土掩	一物降一物；各有办法
并列第一	不相上下
病床上摘牡丹	临死还贪花
病好打太医（医生）	恩将仇报；以怨报德
病好遇良医	晚了，迟了
病人断了气	要（药）来也没用
病人膏盲	不可救药；没治了
病人遭雷打	天灾人祸
病人装进棺材	不可救药
病重不吃药	等死
拨着头发找疤瘌	吹毛求疵
玻璃板上涂蜡	又光又滑
玻璃棒槌	中看不中用
玻璃杯沏茶	看到底
玻璃窗里看戏	一眼看穿；一眼看透
玻璃灯笼	里外明
玻璃灯罩	吹出来的
玻璃店搬家	少砸不了
玻璃肚皮	看透心肝
玻璃缸里的金鱼	翻不了大浪
玻璃缸里养鱼	大不了
玻璃耗子琉璃猫，铁铸公鸡铜羊羔	毛不拔
玻璃镜照着清泉水	嘴里不说他心里都明白
玻璃筷子夹凉粉	光对光
玻璃瓶里插蜡烛	肚里明
玻璃瓶里装开水	三分钟的热劲
玻璃瓶里装王八	原（圆）形毕露
玻璃铺的家当	不堪一击
玻璃菩萨	神明
玻璃球上拴麻线	难缠
玻璃上放花盆	明摆着
玻璃袜子玻璃鞋	名角（明脚）
玻璃罩里的苍蝇	看到光明无出路；处处碰壁
玻璃做鼓	经不起敲打
剥葱捣蒜	干的小事
剥开墨鱼皮了肚	一副黑心肠
剥开皮肉种红豆	入骨相思
剥了皮的蛤蟆	临死还要跳三跳
剥皮的狗头	太露骨
剥皮的青藤	一丝不挂
剥皮的树	不长
剥皮的猪头	太露骨
脖子里套绳子	想死
脖子上安轴承	脑袋灵活得很
脖子上插电扇	尽走上风
